Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
perkAutoWeapons0Desc,progression,perk  book,,,"Learn from top military expert Leonard 'Sarge' Barton how to shoot, maintain and maximize your skill with 5.56mm and 7.62mm automatic weapons.",,,,,,,,,,,,,
ammo556mmBulletBall,items,gun,,,5.56x45mm Ammo,,,,,,,,,,,,,
ammo556mmBulletBallDesc,items,gun,,,5.56x45mm Ammo,,,,,,,,,,,,,
ammo556mmBulletBallBundle,items,gun,,,Box of 5.56x45mm Ammo (100),,,,,,,,,,,,,
//ammo556mmBulletBallBundleDesc,items,gun,,,Box of 5.56x45mm Ammo (100),,,,,,,,,,,,,
ammo556mmHIpower,items,gun,,,HP 5.56x45mm Ammo,,,,,,,,,,,,,
ammo556mmHIpowerDesc,items,gun,,,HP 5.56x45mm Ammo,,,,,,,,,,,,,
ammo556mmHIpowerBundle,items,gun,,,Box of HP 5.56x45mm Ammo (100),,,,,,,,,,,,,
//ammo556mmHIpowerBundleDesc,items,gun,,,Box of HP 5.56x45mm Ammo (100),,,,,,,,,,,,,
ammo556mmArmorPiercing,items,gun,,,AP 5.56x45mm Ammo,,,,,,,,,,,,,
ammo556mmArmorPiercingDesc,items,gun,,,AP 5.56x45mm Ammo,,,,,,,,,,,,,
ammo556mmArmorPiercingBundle,items,gun,,,Box of AP 5.56x45mm Ammo (100),,,,,,,,,,,,,
//ammo556mmArmorPiercingBundleDesc,items,gun,,,Box of AP 5.56x45mm Ammo (100),,,,,,,,,,,,,
IZYgunT0SNIPERpipeAR15Broken15Junk,items,gun,,,Broken AR-15 (T0),,,,,,,,,,,,,
IZYgunT0SNIPERpipeAR15Broken15JunkDesc,items,gun,,,[00FF00]Weapon Type[-]: Junk rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Metal Pipe.\n[00FF00]Material[-]: Scrap Metal. \n[00FF00]Unique Ability[-]: [ff8000]None[-].\n[00FF00]Model made by[-]: [ff8000]Swope25[-].,,,,,,,,,,,,,
IZYgunT1ARCabineM608SurvivalRifle,items,gun,,,Model 608 Survival Rifle (T1),,,,,,,,,,,,,
IZYgunT1ARCabineM608SurvivalRifleDesc,items,gun,,,[00FF00]Weapon Type[-]: Assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT2ARCabineCAR15,items,gun,,,CAR-15 Rifle (T2),,,,,,,,,,,,,
IZYgunT2ARCabineCAR15Desc,items,gun,,,[00FF00]Weapon Type[-]: Assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT3ARCabineM4Carbine,items,gun,,,M4 Carbine (T3),,,,,,,,,,,,,
IZYgunT3ARCabineM4CarbineDesc,items,gun,,,[00FF00]Weapon Type[-]: Assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT4ARCabineHK416,items,gun,,,M416 Carbine (T4),,,,,,,,,,,,,
IZYgunT4ARCabineHK416Desc,items,gun,,,[00FF00]Weapon Type[-]: Assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Advanced Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT2LMGLMG36,items,gun,,,MG36 Machine Gun (T2),,,,,,,,,,,,,
IZYgunT2LMGLMG36Desc,items,gun,,,[00FF00]Weapon Type[-]: Light machine gun. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT3LMGM249FNminimi,items,gun,,,M249 Machine Gun (T3),,,,,,,,,,,,,
IZYgunT3LMGM249FNminimiDesc,items,gun,,,[00FF00]Weapon Type[-]: Light machine gun. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: Attach the Fore Grip Mod to improve mobility at the cost of magazine capacity.,,,,,,,,,,,,,
IZYgunT3MarksManRifle556M16A2DMR,items,gun,,,M16A2 DMR (T3),,,,,,,,,,,,,
IZYgunT3MarksManRifle556M16A2DMRDesc,items,gun,,,[00FF00]Weapon Type[-]: Marksman rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT3BULLPUPHellionVHS2,items,gun,,,VHS-2 Assault Rifle (T3),,,,,,,,,,,,,
IZYgunT3BULLPUPHellionVHS2Desc,items,gun,,,[00FF00]Weapon Type[-]: Bullpup assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT4BULLPUPFNF2000,items,gun,,,FNN F2000 Assault Rifle (T4),,,,,,,,,,,,,
IZYgunT4BULLPUPFNF2000Desc,items,gun,,,[00FF00]Weapon Type[-]: Bullpup assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 5.56mm.\n[00FF00]Repair Tool[-]: Advanced Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
//======================================,,,,,,,,,,,,,,,,,,
// IZY_RMP_45ACP,,,,,,,,,,,,,,,,,,
//===========================================,,,,,,,,,,,,,,,,,,
perkPistolPete0Desc,progression,perk  book,,,Pistol Pete is the handgun enthusiast's one stop shop to learn about pistols and submachine guns.,,,,,,,,,,,,,,,,,,
perkPistolPeteTakeAimDesc,progression,perk  book,,,9mm and .45 ACP weapons have 20% more range when sighted.,,,,,,,,,,,,,,,,,,
perkPistolPeteTakeAimLongDesc,progression,perk  book,,,Take Aim: 9mm and .45 ACP weapons have 20% more range when using a scope or iron sights.,,,,,,,,,,,,,,,,,,
perkPistolPeteSteadyHandDesc,progression,perk  book,,,More accurate when rapid firing 9mm and .45 ACP weapons.,,,,,,,,,,,,,,,,,,
perkPistolPeteSteadyHandLongDesc,progression,perk  book,,,Steady Hands: A steady hand means more targets hit and less ammo wasted. You are more accurate when rapid firing 9mm and .45 ACP weapons.,,,,,,,,,,,,,,,,,,
perkPistolPeteDamageDesc,progression,perk  book,,,Inflict 10% more damage with 9mm and .45 ACP weapons.,,,,,,,,,,,,,,,,,,
perkPistolPeteDamageLongDesc,progression,perk  book,,,Maximum Damage: Inflict 10% more damage with 9mm and .45 ACP weapons.,,,,,,,,,,,,,,,,,,
perkPistolPeteCompleteDesc,progression,perk  book,,,Shots fired at point blank ignore armor and causes bleeding. Bulk craft 9mm and .45 ACP ammunition.,,,,,,,,,,,,,
perkPistolPeteCompleteLongDesc,progression,perk  book,,,Powder Burns: Shots from 9mm and .45 ACP weapons fired at point blank range ignore 20% of armor and cause bleeding damage. Bulk Craft all types of 9mm and .45 ACP ammunition.,,,,,,,,,,,,,
ammo45ACPBulletBall,items,gun,,,.45 ACP Ammo,,,,,,,,,,,,,
ammo45ACPBulletBallDesc,items,gun,,,A popular pistol caliber.\nDeals more damage thanks to its larger bullet diameter.,,,,,,,,,,,,,
ammo45ACPHighpower,items,gun,,,HP .45 ACP Ammo,,,,,,,,,,,,,
ammo45ACPHighpowerDesc,items,gun,,,The hollow point version of the popular pistol caliber.\nDeals high damage thanks to its larger bullet diameter.\nHollow point bullets expand on impact to cause more damage.\nApplies bleeding to targets.,,,,,,,,,,,,,
ammo45ACPArmorpiecing,items,gun,,,AP .45 ACP Ammo,,,,,,,,,,,,,
ammo45ACPArmorpiecingDesc,items,gun,,,The armor piercing version of the popular pistol caliber.\nDeals high damage thanks to its larger bullet diameter.\nSteel core technology increases damage.\n.Great against armored targets.,,,,,,,,,,,,,
ammo45ACPEnhanced,items,gun,,,Enhanced .45 ACP Ammo,,,,,,,,,,,,,
ammo45ACPEnhancedDesc,items,gun,,,"A special .45 ACP cartridge.\nCompatible with: FP-45 Liberator (T0), Carbine-45 (T3), STI Eagle6 (T4), Vector Carbine (T4).\nGreat against any target.",,,,,,,,,,,,,
IZYgunT0PistolLiberatorImprovisedPistol,items,gun,,,FP-45 Liberator Pistol (T0),,,,,,,,,,,,,
IZYgunT0PistolLiberatorImprovisedPistolDesc,items,gun,,,[00FF00]Weapon Type[-]: Improvised pistol. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Metal Pipe.\n[00FF00]Material[-]: Scrap Iron. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT1Pistol45M1917,items,gun,,,M1917 Revolver (T1),,,,,,,,,,,,,
IZYgunT1Pistol45M1917Desc,items,gun,,,[00FF00]Weapon Type[-]: Revolver. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: Supports holdstyle mods.,,,,,,,,,,,,,
IZYgunT1Pistol45Type17C96,items,gun,,,Shanxi Type 17 Pistol (T1),,,,,,,,,,,,,
IZYgunT1Pistol45Type17C96Desc,items,gun,,,[00FF00]Weapon Type[-]: Pistol. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: Supports holdstyle mods.,,,,,,,,,,,,,
IZYgunT2Pistol45M1911A1,items,gun,,,M1911 Pistol (T2),,,,,,,,,,,,,
IZYgunT2Pistol45M1911A1Desc,items,gun,,,[00FF00]Weapon Type[-]: Pistol. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: Supports holdstyle mods.,,,,,,,,,,,,,
IZYgunT3Pistol45USP45,items,gun,,,USP45 Pistol (T3),,,,,,,,,,,,,
IZYgunT3Pistol45USP45Desc,items,gun,,,[00FF00]Weapon Type[-]: Tactical pistol. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: Supports holdstyle mods.,,,,,,,,,,,,,
IZYgunT4Pistol45STIEAGLE6,items,gun,,,STI Eagle 6 Pistol (T4),,,,,,,,,,,,,
IZYgunT4Pistol45STIEAGLE6Desc,items,gun,,,[00FF00]Weapon Type[-]: Pistol. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: [cbff00]Enhanced .45 ACP.[-]\n[00FF00]Repair Tool[-]: Advanced Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: Supports holdstyle mods.,,,,,,,,,,,,,
IZYgunT2DualPistols45M1911A1,items,gun,,,Dual M1911s Pistols (T2),,,,,,,,,,,,,
IZYgunT2DualPistols45M1911A1Desc,items,gun,,,[00FF00]Weapon Type[-]: A pair of pistols. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT245SMGM3Greasegun,items,gun,,,M3 Grease Gun SMG (T2),,,,,,,,,,,,,
IZYgunT245SMGM3GreasegunDesc,items,gun,,,[00FF00]Weapon Type[-]: Submachine gun. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT345SMGM1thompson,items,gun,,,M1 Thompson SMG (T3),,,,,,,,,,,,,
IZYgunT345SMGM1thompsonDesc,items,gun,,,[00FF00]Weapon Type[-]: Submachine gun. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT445SMGM1928thompson,items,gun,,,M1928 Thompson SMG (T4),,,,,,,,,,,,,
IZYgunT445SMGM1928thompsonDesc,items,gun,,,[00FF00]Weapon Type[-]: High-capacity submachine gun. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP\n[00FF00]Repair Tool[-]: Advanced Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT145TACSMGMAC10,items,gun,,,MAC-10 SMG (T1),,,,,,,,,,,,,
IZYgunT145TACSMGMAC10Desc,items,gun,,,[00FF00]Weapon Type[-]: Tactical submachine gun. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT445TACSMGKrissSuperV,items,gun,,,KRISS Vector SMG (T4),,,,,,,,,,,,,
IZYgunT445TACSMGKrissSuperVDesc,items,gun,,,[00FF00]Weapon Type[-]: Tactical submachine gun. \n[00FF00]Attribute[-]: Agility. / [00FF00]Perk[-]: Gunslinger.\n[00FF00]Ammo/Cartridge[-]: .45 ACP\n[00FF00]Repair Tool[-]: Advanced Repair Kit.\n[00FF00]Material[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT3MarksmanRifleMMRM1Carbine45,items,gun,,,Camp Carbine 45 (T3),,,,,,,,,,,,,
IZYgunT3MarksmanRifleMMRM1Carbine45Desc,items,gun,,,[00FF00]Weapon Type[-]: Marksman carbine. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT4MarksmanRifle45MMRKrissVectorCarbine,items,gun,,,Vector Carbine (T4),,,,,,,,,,,,,
IZYgunT4MarksmanRifle45MMRKrissVectorCarbineDesc,items,gun,,,[00FF00]Weapon Type[-]: Marksman carbine. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: .45 ACP.\n[00FF00]Repair Tool[-]: Advanced Repair Kit.\n[00FF00]Material[-]: Rifle Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
ammoBundle45ACPBulletBall,items,gun,,,Box of .45 ACP Ammo (100),,,,,,,,,,,,,
//ammoBundle45ACPBulletBallDesc,items,gun,,,Box of .45 ACP Ammo (100),,,,,,,,,,,,,
ammoBundle45ACPHighpower,items,gun,,,Box of HP .45 ACP Ammo (100),,,,,,,,,,,,,
//ammoBundle45ACPHighpowerDesc,items,gun,,,Box of HP .45 ACP Ammo (100),,,,,,,,,,,,,
ammoBundle45ACPArmorpiecing,items,gun,,,Box of AP .45 ACP Ammo (100),,,,,,,,,,,,,
//ammoBundle45ACPArmorpiecingDesc,items,gun,,,Box of AP .45 ACP Ammo (100),,,,,,,,,,,,,
ammoBundle45ACPEnhanced,items,gun,,,Box of Enhanced .45 ACP Ammo (100),,,,,,,,,,,,,
//ammoBundle45ACPEnhancedDesc,items,gun,,,Box of Enhanced .45 ACP Ammo (100),,,,,,,,,,,,,
//=======================================,,,,,,,,,,,,,,,,,,
// IZY_RMP_762pack,,,,,,,,,,,,,,,,,,
//=======================================,,,,,,,,,,,,,,,,,,
// vanilla,,,,,,,,,,,,,,,,,,
gunMGT0PipeMachineGun,items,Gun,,,Pipe Machine Gun (T0),,,,,,,,,,,,,
gunMGT0PipeMachineGunDesc,items,Gun,,,A home-made automatic weapon firing 7.62mm ammo.\n[00FF00]Weapon Type[-]: Improvised machine gun. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Short Iron Pipe.\n[00FF00]Material[-]: Scrap Iron.,,,,,,,,,,,,,
gunMGT1AK47,items,Gun,,,AK-47 Machine Gun (T1),,,,,,,,,,,,,
gunMGT1AK47Desc,items,Gun,,,This badass AK-47 machine gun uses 7.62mm ammo.\n[00FF00]Weapon Type[-]: Assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts.,,,,,,,,,,,,,
gunMGT2TacticalAR,items,Gun,,,Tactical Assault Rifle (T2),,,,,,,,,,,,,
gunMGT2TacticalARDesc,items,Gun,,,This tactical assault rifle uses 7.62mm ammo.\n[00FF00]Weapon Type[-]: Assault rifle. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts.,,,,,,,,,,,,,
gunMGT3M60,items,Gun,,,M60 Machine Gun (T3),,,,,,,,,,,,,
gunMGT3M60Desc,items,Gun,,,This machine gun is somewhat cumbersome to use but excels at sustained automatic fire.\n[00FF00]Weapon Type[-]: General-purpose machine Gun. \n[00FF00]Attribute[-]: Fortitude. / [00FF00]Perk[-]: Machine Gunner.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Machine Gun Parts.,,,,,,,,,,,,,
gunRifleT0PipeRifle,items,Gun,,,Pipe Rifle (T0),,,,,,,,,,,,,
gunRifleT0PipeRifleDesc,items,Gun,,,A home-made rifle firing 7.62mm ammo.\n[00FF00]Weapon Type[-]: Improvised rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Short Iron Pipe.\n[00FF00]Material[-]: Scrap Iron.,,,,,,,,,,,,,
gunRifleT1HuntingRifle,items,Gun,,,Hunting Rifle (T1),,,,,,,,,,,,,
gunRifleT1HuntingRifleDesc,items,Gun,,,This common farmer's hunting rifle uses 7.62mm ammo.\n[00FF00]Weapon Type[-]: Bolt-action rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts.,,,,,,,,,,,,,
gunRifleT2LeverActionRifle,items,Gun,,,Lever-action Rifle (T2),,,,,,,,,,,,,
gunRifleT2LeverActionRifleDesc,items,Gun,,,This lever-action rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\n[00FF00]Weapon Type[-]: Classic rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts.,,,,,,,,,,,,,
gunRifleT3SniperRifle,items,Gun,,,Sniper Rifle (T3),,,,,,,,,,,,,
gunRifleT3SniperRifleDesc,items,Gun,,,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n[00FF00]Weapon Type[-]: Marksman rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts.",,,,,,,,,,,,,
//IZY,,,,,,,,,,,,,,,,,,
ammo762mmExplosiveFragmentations,items,gun,,,7.62mm Explosive Ammo,,,,,,,,,,,,,
ammo762mmExplosiveFragmentationsDesc,items,gun,,,Special hunting ammunition.\nFilled with an explosive load.\nDeals high damage on impact with a 2 block AOE effect.,,,,,,,,,,,,,
ammo762mmExplosiveFragmentationsBundle,items,gun,,,Box of 7.62mm Explosive Ammo (100),,,,,,,,,,,,,
IZYgunT1SNIPERRIFLE762Mosinnagant,items,gun,,,Mosin Nagant Rifle (T1),,,,,,,,,,,,,
IZYgunT1SNIPERRIFLE762MosinnagantDesc,items,gun,,,[00FF00]Weapon Type[-]: Sniper rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT3SNIPERRIFLE762LeeEnfieldRifle,items,gun,,,Enfield Rifle (T3),,,,,,,,,,,,,
IZYgunT3SNIPERRIFLE762LeeEnfieldRifleDesc,items,gun,,,[00FF00]Weapon Type[-]: Sniper rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT4SNIPERRIFLE762L96AWMRifle,items,gun,,,L96 Rifle (T4),,,,,,,,,,,,,
IZYgunT4SNIPERRIFLE762L96AWMRifleDesc,items,gun,,,[00FF00]Weapon Type[-]: Sniper rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Advanced Repair Kit.\n[00FF00]Material[-]: Rifle Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,,,,,,,
IZYgunT2MarksManRifle762M1garandNavyconverted,items,gun,,,M1N Reserve Rifle (T2),,,,,,,,,,,,,
IZYgunT2MarksManRifle762M1garandNavyconvertedDesc,items,gun,,,[00FF00]Weapon Type[-]: Marksman rifle. \n[00FF00]Attribute[-]: Perception. / [00FF00]Perk[-]: Dead Eye.\n[00FF00]Ammo/Cartridge[-]: 7.62mm.\n[00FF00]Repair Tool[-]: Repair Kit.\n[00FF00]Material[-]: Rifle Parts. \n[00FF00]Unique Ability[-]: Install the Magazine Extender Mod to obtain the EBR-M1 model.,,,,,,,,,,,,,
IZYgunT3MarksManRifle762HKPSG1,items,gun,,,PSG1 Rifle (T3),,,,,,,,,,,,,
